[Epoch 0] lr=[{'lr_backbone': 2e-05}, {'lr_points': 2e-05}, {'lr_query_updater': 0.0002}, {'lr': 0.0002}] 
[Epoch 0] lr=[{'lr_backbone': 2e-05}, {'lr_points': 2e-05}, {'lr_query_updater': 0.0002}, {'lr': 0.0002}] 
[Epoch 0] lr=[{'lr_backbone': 2e-05}, {'lr_points': 2e-05}, {'lr_query_updater': 0.0002}, {'lr': 0.0002}] 
[Epoch 0] lr=[{'lr_backbone': 2e-05}, {'lr_points': 2e-05}, {'lr_query_updater': 0.0002}, {'lr': 0.0002}] 
[Epoch 0] lr=[{'lr_backbone': 2e-05}, {'lr_points': 2e-05}, {'lr_query_updater': 0.0002}, {'lr': 0.0002}] 
[Epoch 0] lr=[{'lr_backbone': 2e-05}, {'lr_points': 2e-05}, {'lr_query_updater': 0.0002}, {'lr': 0.0002}] 
[Epoch 0] lr=[{'lr_backbone': 2e-05}, {'lr_points': 2e-05}, {'lr_query_updater': 0.0002}, {'lr': 0.0002}] 
[Epoch 0] lr=[{'lr_backbone': 2e-05}, {'lr_points': 2e-05}, {'lr_query_updater': 0.0002}, {'lr': 0.0002}] 
[Epoch 0] lr=[{'lr_backbone': 2e-05}, {'lr_points': 2e-05}, {'lr_query_updater': 0.0002}, {'lr': 0.0002}] 
[Epoch 0] lr=[{'lr_backbone': 2e-05}, {'lr_points': 2e-05}, {'lr_query_updater': 0.0002}, {'lr': 0.0002}] 
[Epoch 0] lr=[{'lr_backbone': 2e-05}, {'lr_points': 2e-05}, {'lr_query_updater': 0.0002}, {'lr': 0.0002}] 
[Epoch 0] lr=[{'lr_backbone': 2e-05}, {'lr_points': 2e-05}, {'lr_query_updater': 0.0002}, {'lr': 0.0002}] 
[Epoch 0] lr=[{'lr_backbone': 2e-05}, {'lr_points': 2e-05}, {'lr_query_updater': 0.0002}, {'lr': 0.0002}] 
[Epoch=0, Iter=0/5309] loss = 12.0600 (12.0600); frame0_box_l1_loss = 0.0305 (0.0305); frame0_box_giou_loss = 0.4766 (0.4766); frame0_label_focal_loss = 0.2458 (0.2458); frame1_box_l1_loss = 0.0691 (0.0691); frame1_box_giou_loss = 0.5902 (0.5902); frame1_label_focal_loss = 0.4673 (0.4673); 
[Epoch 0] lr=[{'lr_backbone': 2e-05}, {'lr_points': 2e-05}, {'lr_query_updater': 0.0002}, {'lr': 0.0002}] 
[Epoch=0, Iter=0/5309] loss = 12.0600 (12.0600); frame0_box_l1_loss = 0.0305 (0.0305); frame0_box_giou_loss = 0.4766 (0.4766); frame0_label_focal_loss = 0.2458 (0.2458); frame1_box_l1_loss = 0.0691 (0.0691); frame1_box_giou_loss = 0.5902 (0.5902); frame1_label_focal_loss = 0.4673 (0.4673); 
[Epoch 0] lr=[{'lr_backbone': 2e-05}, {'lr_points': 2e-05}, {'lr_query_updater': 0.0002}, {'lr': 0.0002}] 
[Epoch 0] lr=[{'lr_backbone': 2e-05}, {'lr_points': 2e-05}, {'lr_query_updater': 0.0002}, {'lr': 0.0002}] 
[Epoch 0] lr=[{'lr_backbone': 2e-05}, {'lr_points': 2e-05}, {'lr_query_updater': 0.0002}, {'lr': 0.0002}] 
